species,mean_bmi
Aleena,24.034609838166958
Besalisk,26.017753290480563
Cerean,20.91623303744516
Clawdite,19.48696145124717
Droid,32.65613394876681
Dug,31.887755102040813
Ewok,25.826446280991735
Geonosian,23.888440980620498
Gungan,16.761408007080384
Human,25.486184494855646
Hutt,443.42857142857144
Kaleesh,34.07921810699588
Kaminoan,16.78076314334204
Kel Dor,22.634676324128566
Mirialan,18.795617706579016
Mon Calamari,25.61728395061728
Nautolan,22.646813827571847
Neimodian,24.67037636029714
Pau'an,18.85191818267509
Rodian,24.725182932941294
Skakoan,12.886251979918924
Sullustan,26.562499999999996
Tholothian,14.768431001890358
Togruta,17.99015275849009
Toong,24.46460160337235
Trandoshan,31.301939058171747
Twi'lek,17.35891932836763
Vulptereen,50.92802172928928
Wookiee,23.1912757660325
Yoda's species,39.02662993572084
Zabrak,26.122448979591837
NA,15.149602322939023
